predictor,clinical_meaning,inferential_role,row_type,model_analysis_N,model_events,model_non_events,model_unique_subjects,odds_ratio,ci_low,ci_high,coef_p_value,omnibus_p_value,effect_representation,hypothesis_type,raw_p,bh_q,in_bh_family,fit_status,separation_status,support_status,rarity_support_status,current_compact_ridge_member,historical_lasso_selection_frequency,historical_lasso_sign_consistency
adenomyosis_features_unknown,Adenomyosis sonographic finding: unspecified/not documented,BINARY,source,431.0,61.0,370.0,430.0,1.11404958677686,0.4450649851990384,2.7885960996070156,0.8175447826445168,,,binary_coefficient,0.8175447826445168,0.8995775974385339,True,OK,none,OK,REVIEW_REQUIRED,False,0.1,1.0
bladder_lesion_resected,Bladder endometriosis lesion resected,BINARY,source,431.0,61.0,370.0,430.0,1.4204244031830249,0.3915094265126888,5.153402060147999,0.5935058282424843,,,binary_coefficient,0.5935058282424843,0.7889247311502822,True,OK,none,SPARSE_EXPLORATORY,SPARSE_EXPLORATORY,False,0.12,0.8333333333333334
bowel_lesion_resected,Bowel endometriosis lesion resected,BINARY,source,431.0,61.0,370.0,430.0,1.192961876832844,0.47465699095770214,2.998287324716477,0.7074880363028486,,,binary_coefficient,0.7074880363028486,0.860083495113267,True,OK,none,OK,REVIEW_REQUIRED,False,0.1,1.0
cs_scar_endometriosis,Endometriosis in prior cesarean-section scar,BINARY,source,431.0,61.0,370.0,430.0,4.630102040816327,1.4164714491124828,15.134681974567016,0.01120900705069428,,,binary_coefficient,0.01120900705069428,0.13899168742860907,True,OK,none,OK,REVIEW_REQUIRED,False,0.98,1.0
deep_endometriosis,Deep infiltrating endometriosis phenotype,BINARY,source,431.0,61.0,370.0,430.0,0.9578244274809167,0.5411476952054896,1.6953368590635347,0.8824084234716103,,,binary_coefficient,0.8824084234716103,0.9118220375873307,True,OK,none,OK,REVIEW_REQUIRED,False,0.28,1.0
derived_endo_surgery_adhesion_status,Documented adhesion status at prior endometriosis surgery,CATEGORICAL,source,431.0,61.0,370.0,430.0,,,,,0.7999274889930901,,categorical_omnibus,0.7999274889930901,0.8995775974385339,True,OK,none,SEE_LEVEL_SUPPORT,REVIEW_REQUIRED,False,0.06,
derived_prior_endo_surgery_procedure_status,Documented procedure status at prior endometriosis surgery,CATEGORICAL,source,431.0,61.0,370.0,430.0,,,,,0.04308161847022462,,categorical_omnibus,0.04308161847022462,0.18955683777306506,True,OK,none,SEE_LEVEL_SUPPORT,REVIEW_REQUIRED,False,0.06,
endo_resection_adhesiolysis,Adhesiolysis performed at prior endometriosis surgery,BINARY,source,431.0,61.0,370.0,430.0,0.8009522065555756,0.4430645652602637,1.4479253984335285,0.46250531633608616,,,binary_coefficient,0.46250531633608616,0.6993982832399351,True,OK,none,OK,REVIEW_REQUIRED,False,0.24,0.8333333333333334
endo_resection_adnexa,Adnexal endometriosis lesion resected,BINARY,source,431.0,61.0,370.0,430.0,0.6,0.07506580162383206,4.795792387644422,0.6300343652085265,,,binary_coefficient,0.6300343652085265,0.8137943883943467,True,OK,none,SPARSE_EXPLORATORY,SPARSE_EXPLORATORY,False,0.14,1.0
endo_resection_appendix,Appendiceal endometriosis lesion resected,BINARY,source,431.0,61.0,370.0,430.0,2.03888888888889,0.20752766687945096,20.031391301909334,0.5411367322209195,,,binary_coefficient,0.5411367322209195,0.7625108499476593,True,OK,none,SPARSE_EXPLORATORY,SPARSE_EXPLORATORY,False,0.18,0.8888888888888888
endo_resection_epiploica,Epiploic-appendage endometriosis lesion resected,BINARY,source,431.0,61.0,370.0,430.0,,,,,,,not_estimable,,,False,STANDARD_OR_NOT_RELIABLY_ESTIMABLE,complete_separation,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT,False,0.0,
endo_resection_fallopian_tube,Fallopian tube endometriosis lesion resected,BINARY,source,431.0,61.0,370.0,430.0,0.4677966101694919,0.10756441064371339,2.0344430576662798,0.3110685855592158,,,binary_coefficient,0.3110685855592158,0.5759981199616601,True,OK,none,SPARSE_EXPLORATORY,SPARSE_EXPLORATORY,False,0.32,1.0
endo_resection_lesion,Other endometriosis lesion resected (unspecified site),BINARY,source,431.0,61.0,370.0,430.0,0.7446078431372549,0.42157384169877,1.315168981612676,0.30960921639941275,,,binary_coefficient,0.30960921639941275,0.5759981199616601,True,OK,none,OK,REVIEW_REQUIRED,False,0.54,1.0
endo_resection_no_resection,No endometriosis lesion resected,BINARY,source,431.0,61.0,370.0,430.0,4.732758620689655,1.0289934838130719,21.767877556143276,0.045860525267677026,,,binary_coefficient,0.045860525267677026,0.18955683777306506,True,OK,none,SPARSE_EXPLORATORY,SPARSE_EXPLORATORY,False,0.52,0.9230769230769231
endo_resection_ovarian_endometrioma_bilateral,Bilateral ovarian endometrioma resected,BINARY,source,431.0,61.0,370.0,430.0,0.46779661016949176,0.10756441064371335,2.0344430576662793,0.31106858555921557,,,binary_coefficient,0.31106858555921557,0.5759981199616601,True,OK,none,SPARSE_EXPLORATORY,SPARSE_EXPLORATORY,False,0.42,1.0
endo_resection_ovarian_endometrioma_unilateral,Unilateral ovarian endometrioma resected,BINARY,source,431.0,61.0,370.0,430.0,0.9105555555555557,0.45021386562951077,1.8415945910368243,0.7942910828420253,,,binary_coefficient,0.7942910828420253,0.8995775974385339,True,OK,none,OK,REVIEW_REQUIRED,False,0.1,1.0
endo_resection_uterus,Uterine endometriosis lesion resected,BINARY,source,431.0,61.0,370.0,430.0,,,,,,,not_estimable,,,False,STANDARD_OR_NOT_RELIABLY_ESTIMABLE,complete_separation,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT,False,0.08,1.0
endometrioma,Endometrioma present,BINARY,source,431.0,61.0,370.0,430.0,0.8349867724867727,0.4811191569707717,1.4491273110337468,0.5214344961457014,,,binary_coefficient,0.5214344961457014,0.7625108499476593,True,OK,none,OK,REVIEW_REQUIRED,False,0.0,
endometrioma_presence_laterality,Endometrioma laterality,CATEGORICAL,source,431.0,61.0,370.0,430.0,,,,,,,not_estimable,,,False,STANDARD_OR_NOT_RELIABLY_ESTIMABLE,complete_separation,SEE_LEVEL_SUPPORT,INSUFFICIENT_SUPPORT,False,0.08,
endometrioma_size_status,Endometrioma size category,CATEGORICAL,source,431.0,61.0,370.0,430.0,,,,,0.4059050586915042,,categorical_omnibus,0.4059050586915042,0.6622661483914015,True,OK,none,SEE_LEVEL_SUPPORT,REVIEW_REQUIRED,False,0.06,
endometriosis_surgery,Prior endometriosis surgery,BINARY,source,431.0,61.0,370.0,430.0,0.8971774193548387,0.5211252049499652,1.5445948769211648,0.6954661434973904,,,binary_coefficient,0.6954661434973904,0.860083495113267,True,OK,none,OK,REVIEW_REQUIRED,False,0.0,
peritoneal_endometriosis,Peritoneal endometriosis phenotype,BINARY,source,431.0,61.0,370.0,430.0,0.9719434773704687,0.5405156758884984,1.7477275227034734,0.9242709780400833,,,binary_coefficient,0.9242709780400833,0.9298003548340266,True,OK,none,OK,REVIEW_REQUIRED,False,0.08,0.75
vaginal_opening_during_surgery,Vaginal opening performed during endometriosis surgery,BINARY,source,431.0,61.0,370.0,430.0,1.6494360902255647,0.5905574765295513,4.606900299910872,0.33961202901778575,,,binary_coefficient,0.33961202901778575,0.5759981199616601,True,OK,none,OK,REVIEW_REQUIRED,False,0.4,1.0
