column,stage,action,detail,issue_type,action_taken,base_variable,reason,rows_removed,row_count_changed,target_distribution_changed,imputation_performed,new_indicators_created,unknown_categories_created,requires_manual_decision_before_reversal,related_columns_excluded
AGE,B3_transformation_review,raw_no_fixed_power_transform,"skew=-0.13 -- reviewed, target-blind; no log/log1p/sqrt/Box-Cox/Yeo-Johnson applied; downstream scaling is StandardScaler, fit training-fold-only in modeling",,,,,,,,,,,,
weight_before_pregnancy,B3_transformation_review,raw_no_fixed_power_transform,"skew=1.54 -- reviewed, target-blind; no log/log1p/sqrt/Box-Cox/Yeo-Johnson applied; downstream scaling is StandardScaler, fit training-fold-only in modeling",,,,,,,,,,,,
height,B3_transformation_review,raw_no_fixed_power_transform,"skew=0.08 -- reviewed, target-blind; no log/log1p/sqrt/Box-Cox/Yeo-Johnson applied; downstream scaling is StandardScaler, fit training-fold-only in modeling",,,,,,,,,,,,
BMI_before,B3_transformation_review,raw_no_fixed_power_transform,"skew=1.6 -- reviewed, target-blind; no log/log1p/sqrt/Box-Cox/Yeo-Johnson applied; downstream scaling is StandardScaler, fit training-fold-only in modeling",,,,,,,,,,,,
Hb_before_delivery,B3_transformation_review,raw_no_fixed_power_transform,"skew=0.1 -- reviewed, target-blind; no log/log1p/sqrt/Box-Cox/Yeo-Johnson applied; downstream scaling is StandardScaler, fit training-fold-only in modeling",,,,,,,,,,,,
gestational_age_at_delivery_days,B3_transformation_review,raw_no_fixed_power_transform,"skew=-2.98 -- reviewed, target-blind; no log/log1p/sqrt/Box-Cox/Yeo-Johnson applied; downstream scaling is StandardScaler, fit training-fold-only in modeling",,,,,,,,,,,,
AGE,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
G,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
nulliparity,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
P,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
LIVE_BIRTH,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
EUP,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
AB,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
S_P_CS,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
CS,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
VBAC,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
smoking,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
alcohol,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
Fetus_Anamoly,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
deep_endometriosis,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
adenomyosis,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
cs_scar_endometriosis,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
peritoneal_endometriosis,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
endometrioma,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
endometriosis_surgery,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
vaginal_opening_during_surgery,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
bowel_lesion_resected,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
bladder_lesion_resected,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
endo_surgery_adhesiolysis,B4_missingness,subgroup-aware; missingness represented by explicit derived status; indicator retired,missing=48.5% tier=structural,,,,,,,,,,,,
weight_before_pregnancy,B4_missingness,"direct numeric — approved median imputation, fitted within the training fold only",missing=20.6% tier=<40%,,,,,,,,,,,,
weight_in_pregnancy,B4_missingness,"CLOSED representation — fold-safe observed-value tertiles (weight_in_pregnancy_cat: low_observed/mid_observed/high_observed) plus not_documented, cutpoints fitted training-fold-only; no imputation is performed in Data Cleaning B",missing=56.6% tier=40-70%,,,,,,,,,,,,
height,B4_missingness,"direct numeric — approved median imputation, fitted within the training fold only",missing=15.8% tier=<40%,,,,,,,,,,,,
BMI_before,B4_missingness,assess_mechanism_then_impute_in_cv,missing=26.5% tier=<40%,,,,,,,,,,,,
BMI_after,B4_missingness,"CLOSED representation — fold-safe observed-value tertiles (BMI_after_cat: low_observed/mid_observed/high_observed) plus not_documented, cutpoints fitted training-fold-only; no imputation is performed in Data Cleaning B",missing=57.3% tier=40-70%,,,,,,,,,,,,
aspirin_during_pregnancy,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
clexane_during_pregnancy,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
mode_of_conception,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
mode_of_conception_ivf_vs_all,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
PPROM,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
pregnancy_related_hypertensive_disorder,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
PIH,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
mild_PET,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
severe_PET,B4_missingness,assess_mechanism_then_impute_in_cv,missing=3.5% tier=<40%,,,,,,,,,,,,
any_PET,B4_missingness,assess_mechanism_then_impute_in_cv,missing=3.5% tier=<40%,,,,,,,,,,,,
SIPET,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
HELLP,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
eclampsia,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
gestational_diabetes,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
diabetes_type,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
IUGR,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
placental_abruption,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
oligohydramnios,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
polyhydramnios,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
meconium_stained_amniotic_fluid,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
IUFD,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
celestone,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
magnesium,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
Hb_before_delivery,B4_missingness,"direct numeric — approved median imputation, fitted within the training fold only",missing=9.0% tier=<40%,,,,,,,,,,,,
adenomyosis_sonographic_features_clean,B4_missingness,"row_specific_applicability_gate(gate=adenomyosis==1): not applicable when gate condition fails (excluded from the missingness denominator entirely, never indicated or imputed); genuine missingness is assessed only among applicable rows; no automatic indicator or CV imputation is created here -- this variable's specific representation/handling is documented separately (see Section B6)",applicable_subset_missing=23.1% (raw_whole_cohort=69.8%) tier=<40%,,,,,,,,,,,,
endometrioma_size_clean,B4_missingness,subgroup-aware; missingness represented by explicit derived status; indicator retired,missing=60.3% tier=structural,,,,,,,,,,,,
endometrioma_place_clean,B4_missingness,subgroup-aware; missingness represented by explicit derived status; indicator retired,missing=56.4% tier=structural,,,,,,,,,,,,
endometrioma_laterality,B4_missingness,subgroup-aware; missingness represented by explicit derived status; indicator retired,missing=56.4% tier=structural,,,,,,,,,,,,
endo_resection_no_resection,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
endo_resection_ovarian_endometrioma_unilateral,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
endo_resection_ovarian_endometrioma_bilateral,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
endo_resection_adnexa,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
endo_resection_fallopian_tube,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
endo_resection_epiploica,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
endo_resection_uterus,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
endo_resection_lesion,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
endo_resection_adhesiolysis,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
endo_resection_appendix,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
gestational_age_at_delivery_days,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
gestational_age_at_PPROM_days,B4_missingness,"row_specific_applicability_gate(gate=PPROM==1): not applicable when gate condition fails (excluded from the missingness denominator entirely, never indicated or imputed); genuine missingness is assessed only among applicable rows; no automatic indicator or CV imputation is created here -- this variable's specific representation/handling is documented separately (see Section B6)",applicable_subset_missing=5.9% (raw_whole_cohort=96.3%) tier=<40%,,,,,,,,,,,,
induction_any_bin,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
indication_for_induction_clean,B4_missingness,"row_specific_applicability_gate(gate=induction_any_bin==1): not applicable when gate condition fails (excluded from the missingness denominator entirely, never indicated or imputed); genuine missingness is assessed only among applicable rows; no automatic indicator or CV imputation is created here -- this variable's specific representation/handling is documented separately (see Section B6)",applicable_subset_missing=2.1% (raw_whole_cohort=55.9%) tier=<40%,,,,,,,,,,,,
intrapartum_fever_or_chorioamnionitis_bin,B4_missingness,none,missing=0.0% tier=0%,,,,,,,,,,,,
nulliparity,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
EUP,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
S_P_CS,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
VBAC,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
alcohol,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
Fetus_Anamoly,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
deep_endometriosis,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
adenomyosis,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
cs_scar_endometriosis,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
peritoneal_endometriosis,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
endometrioma,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
endometriosis_surgery,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
vaginal_opening_during_surgery,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
bowel_lesion_resected,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
bladder_lesion_resected,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
endo_surgery_adhesiolysis,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
aspirin_during_pregnancy,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
clexane_during_pregnancy,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
mode_of_conception_ivf_vs_all,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
PPROM,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
pregnancy_related_hypertensive_disorder,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
PIH,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
mild_PET,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
severe_PET,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
any_PET,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
SIPET,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
HELLP,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
eclampsia,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
gestational_diabetes,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
IUGR,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
placental_abruption,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
oligohydramnios,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
polyhydramnios,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
meconium_stained_amniotic_fluid,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
IUFD,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
celestone,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
magnesium,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
endo_resection_no_resection,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
endo_resection_ovarian_endometrioma_unilateral,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
endo_resection_ovarian_endometrioma_bilateral,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
endo_resection_adnexa,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
endo_resection_fallopian_tube,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
endo_resection_epiploica,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
endo_resection_uterus,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
endo_resection_lesion,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
endo_resection_adhesiolysis,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
endo_resection_appendix,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
induction_any_bin,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
intrapartum_fever_or_chorioamnionitis_bin,B5a_type,normalise_binary_int,cast to nullable Int64 0/1,,,,,,,,,,,,
BMI_after,B5b_no_imputation_raw_source,no_imputation_nan_preserved,"247 rows left as NaN (not imputed, not formula-completed)",n/a,none,BMI_after,"BMI_after had 247 missing (57.3%). BMI_after is in CLEANING_SCOPE as a secondary near-delivery predictor. No weight_in_pregnancy/height-based deterministic completion is performed. NaN preserved on the raw source column; the missingness question is answered for MODELING purposes by the documented (not materialized) BMI_after_cat representation below, computed by a fold-safe transformer at modeling time -- the raw column itself is never imputed and never independently enters a model (model_entry_mode=transform_source_only). See docs/clinical_decisions/manual_decisions_log.md.",0.0,False,False,False,0.0,0.0,True,
endometrioma_size_status,B5c_endometrioma_derived,deterministic_categorical_status_no_imputation,"counts={'no_endometrioma': 238, 'endometrioma_30mm_or_more': 104, 'endometrioma_less_than_30mm': 67, 'endometrioma_size_unknown': 22}; cutoff=30.0mm; imputation=none",n/a,deterministic_categorical_status_no_imputation,endometrioma,"endometrioma==0 is structurally no_endometrioma. Within endometrioma==1, documented size is classified using the 30mm clinical cutoff and genuinely missing/unusable size is represented as endometrioma_size_unknown rather than being imputed into a known size category. No size imputation is performed.",0.0,False,False,False,0.0,1.0,True,
endometrioma_presence_laterality,B5c_endometrioma_derived,categorical_presence_laterality_no_upstream_imputation,"counts={'none': 238, 'unilateral': 125, 'bilateral': 63, 'laterality_unknown': 5}; unresolved_missing=0",n/a,categorical_presence_laterality_no_upstream_imputation,endometrioma,"Canonical categorical representation of endometrioma presence plus laterality: none/unilateral/bilateral/laterality_unknown. Genuinely unresolved endometrioma==1 laterality rows are the explicit laterality_unknown category, not true missing -- the final column has 0 missing; no downstream categorical imputation is needed or performed for these rows. It replaces the full-cohort mode-imputed binary alias endometrioma_bilateral_any.",0.0,False,False,False,0.0,0.0,True,
weight_before_pregnancy,B5d_missing_data_architecture_correction,no_imputation_nan_preserved,89 rows left as NaN (not imputed),n/a,none,weight_before_pregnancy,"weight_before_pregnancy had 89 missing (20.6%). Data Cleaning B preserves the original NaN and performs no learned imputation itself. A full-cohort imputer fit before any train/CV split would be an imputation-leakage risk. The approved method is ordinary median imputation, with the median statistic fitted training-fold-only in modeling, within each grouped (subject_number) training fold (SimpleImputer, analysis/modeling/final_modeling/modeling_core.py). This is an APPROVED, closed treatment, not an open or if-any downstream decision. See docs/clinical_decisions/manual_decisions_log.md.",0.0,False,False,False,0.0,0.0,True,
height,B5d_missing_data_architecture_correction,no_imputation_nan_preserved,68 rows left as NaN (not imputed),n/a,none,height,"height had 68 missing (15.8%). Data Cleaning B preserves the original NaN and performs no learned imputation itself. A full-cohort imputer fit before any train/CV split would be an imputation-leakage risk. The approved method is ordinary median imputation, with the median statistic fitted training-fold-only in modeling, within each grouped (subject_number) training fold (SimpleImputer, analysis/modeling/final_modeling/modeling_core.py). This is an APPROVED, closed treatment, not an open or if-any downstream decision. See docs/clinical_decisions/manual_decisions_log.md.",0.0,False,False,False,0.0,0.0,True,
Hb_before_delivery,B5d_missing_data_architecture_correction,no_imputation_nan_preserved,39 rows left as NaN (not imputed),n/a,none,Hb_before_delivery,"Hb_before_delivery had 39 missing (9.0%). Data Cleaning B preserves the original NaN and performs no learned imputation itself. A full-cohort imputer fit before any train/CV split would be an imputation-leakage risk. The approved method is ordinary median imputation, with the median statistic fitted training-fold-only in modeling, within each grouped (subject_number) training fold (SimpleImputer, analysis/modeling/final_modeling/modeling_core.py). This is an APPROVED, closed treatment, not an open or if-any downstream decision. See docs/clinical_decisions/manual_decisions_log.md.",0.0,False,False,False,0.0,0.0,True,
BMI_before,B5d_missing_data_architecture_correction,formula_recompute,0 of 114 originally-missing rows resolved via deterministic formula (observed inputs only),n/a,formula_recompute,BMI_before,"BMI_before recomputed via weight_before_pregnancy/(height/100)^2 (formula-exact) only for rows where both formula inputs are observed -- never from an imputed input, since neither weight_before_pregnancy nor height is imputed in Data Cleaning B. Deterministic formula rule, not structural-zero handling and not learned imputation; remaining missingness (weight and/or height still missing) is left as NaN in the exported Batch19. When BMI_before is selected downstream, modeling_core.py's FoldSafeRecomputedBMITransformer fits training-fold-only medians for height and weight_before_pregnancy and recomputes BMI_before from those -- confirmed-implemented, not hypothetical. BMI_before itself is never independently median-imputed.",0.0,False,False,False,0.0,0.0,True,
severe_PET,B5e_categorical_unknown,categorical_not_documented_conversion,"+severe_PET_cat; 15 rows -> not_documented; counts={'absent': 414, 'not_documented': 15, 'present': 2}",n/a,categorical_not_documented_conversion,severe_PET,"severe_PET had 15 missing (3.5%), <40%, mechanism screen found a significant association with AGE -- evidence against MCAR, compatible with MAR (not, by itself, proof of MNAR or proof that ordinary imputation is impossible). Per the project's approved Decision 27 handling, converted to categorical (absent/present/not_documented) instead of ordinary binary imputation, with the mechanism screen as supporting/descriptive evidence for that decision. not_documented is explicitly NOT coded as PET-absent. Raw column excluded from final export. See docs/clinical_decisions/manual_decisions_log.md Decision 27.",0.0,False,False,False,0.0,1.0,True,
any_PET,B5e_categorical_unknown,categorical_not_documented_conversion,"+any_PET_cat; 15 rows -> not_documented; counts={'absent': 406, 'not_documented': 15, 'present': 10}",n/a,categorical_not_documented_conversion,any_PET,"any_PET had 15 missing (3.5%), <40%, mechanism screen found a significant association with AGE -- evidence against MCAR, compatible with MAR (not, by itself, proof of MNAR or proof that ordinary imputation is impossible). Per the project's approved Decision 27 handling, converted to categorical (absent/present/not_documented) instead of ordinary binary imputation, with the mechanism screen as supporting/descriptive evidence for that decision. not_documented is explicitly NOT coded as PET-absent. Raw column excluded from final export. See docs/clinical_decisions/manual_decisions_log.md Decision 27.",0.0,False,False,False,0.0,1.0,True,
"adenomyosis_feature_1..11, adenomyosis_features_unknown",B5f_adenomyosis_multihot,deterministic_multihot_no_imputation,"per_code_counts={1: 69, 2: 6, 3: 46, 4: 39, 5: 22, 6: 4, 7: 1, 8: 1, 9: 4, 10: 10, 11: 1}; unknown_count=39; imputation=none",n/a,deterministic_multihot_no_imputation,adenomyosis,"Multi-hot representation of the documented sonographic features, so a model can learn each documented feature's association independently rather than only whole opaque combinations. adenomyosis==0 is structurally all-zero. Within adenomyosis==1, each documented code sets its own indicator losslessly; genuinely missing feature detail is represented by adenomyosis_features_unknown rather than imputed. See docs/clinical_decisions/manual_decisions_log.md.",0.0,False,False,False,12.0,1.0,True,
derived_endo_surgery_adhesion_status,B5g_endo_surgery_adhesion_status_relocated_from_eda_c,deterministic_categorical_status_no_imputation,"counts={'no_prior_endo_surgery': 209, 'prior_surgery_with_documented_adhesions': 136, 'prior_surgery_without_documented_adhesions': 86}; imputation=none",n/a,deterministic_categorical_status_no_imputation,endo_surgery_adhesiolysis,Deterministic semantic replacement built in Data Cleaning B (Section B5g). Only 3 active categories (0 genuinely missing applicable rows in the current cohort); construction fails loud if that invariant is ever violated. See docs/clinical_decisions/manual_decisions_log.md.,0.0,False,False,False,0.0,0.0,True,
indication_for_induction_status,B5h_indication_for_induction_status_new,deterministic_categorical_status_no_imputation,"no_induction=237, induction_indication_unknown=4, observed_preserved=190; imputation=none",n/a,deterministic_categorical_status_no_imputation,indication_for_induction_clean,"Deterministic Stage-3-only categorical representation for indication_for_induction_clean, following the same applicability-aware structural/genuine-unknown pattern as adenomyosis/endometrioma/PPROM. See docs/clinical_decisions/manual_decisions_log.md.",0.0,False,False,False,0.0,1.0,True,
