column,type,missing_%,raw_missing_pct_whole_cohort,structural_nan,row_specific_applicability_gated,tier,recommendation,indicator_created,raw_full_cohort_missing_n,raw_full_cohort_missing_pct,applicable_n,genuine_missing_within_applicable_n,genuine_missing_within_applicable_pct,mechanism_heuristic
endometrioma_place_clean,categorical,56.4,,True,False,structural,subgroup-aware; missingness represented by explicit derived status; indicator retired,,243,56.4,193,5,2.6,structural/subgroup missingness (confirmed code-enforced gate); MCAR/MAR mechanism inference not applicable; variable-specific handling documented separately
endometrioma_laterality,categorical,56.4,,True,False,structural,subgroup-aware; missingness represented by explicit derived status; indicator retired,,243,56.4,193,5,2.6,structural/subgroup missingness (confirmed code-enforced gate); MCAR/MAR mechanism inference not applicable; variable-specific handling documented separately
endo_resection_no_resection,binary,0.0,,False,False,0%,none,,0,0.0,431,0,0.0,n/a (no missing)
endo_resection_ovarian_endometrioma_unilateral,binary,0.0,,False,False,0%,none,,0,0.0,431,0,0.0,n/a (no missing)
endo_resection_ovarian_endometrioma_bilateral,binary,0.0,,False,False,0%,none,,0,0.0,431,0,0.0,n/a (no missing)
endo_resection_adnexa,binary,0.0,,False,False,0%,none,,0,0.0,431,0,0.0,n/a (no missing)
endo_resection_fallopian_tube,binary,0.0,,False,False,0%,none,,0,0.0,431,0,0.0,n/a (no missing)
endo_resection_epiploica,binary,0.0,,False,False,0%,none,,0,0.0,431,0,0.0,n/a (no missing)
endo_resection_uterus,binary,0.0,,False,False,0%,none,,0,0.0,431,0,0.0,n/a (no missing)
endo_resection_lesion,binary,0.0,,False,False,0%,none,,0,0.0,431,0,0.0,n/a (no missing)
endo_resection_adhesiolysis,binary,0.0,,False,False,0%,none,,0,0.0,431,0,0.0,n/a (no missing)
endo_resection_appendix,binary,0.0,,False,False,0%,none,,0,0.0,431,0,0.0,n/a (no missing)
gestational_age_at_delivery_days,numeric,0.0,,False,False,0%,none,,0,0.0,431,0,0.0,n/a (no missing)
gestational_age_at_PPROM_days,categorical,5.9,96.3,False,True,<40%,"row_specific_applicability_gate(gate=PPROM==1): not applicable when gate condition fails (excluded from the missingness denominator entirely, never indicated or imputed); genuine missingness is assessed only among applicable rows; no automatic indicator or CV imputation is created here -- this variable's specific representation/handling is documented separately (see Section B6)",,415,96.3,17,1,5.9,"insufficient applicable missing cases for a meaningful mechanism test (applicable_missing_n=1, applicable_n=17, gate=PPROM==1)"
induction_any_bin,binary,0.0,,False,False,0%,none,,0,0.0,431,0,0.0,n/a (no missing)
indication_for_induction_clean,categorical,2.1,55.9,False,True,<40%,"row_specific_applicability_gate(gate=induction_any_bin==1): not applicable when gate condition fails (excluded from the missingness denominator entirely, never indicated or imputed); genuine missingness is assessed only among applicable rows; no automatic indicator or CV imputation is created here -- this variable's specific representation/handling is documented separately (see Section B6)",,241,55.9,194,4,2.1,"insufficient applicable missing cases for a meaningful mechanism test (applicable_missing_n=4, applicable_n=194, gate=induction_any_bin==1)"
intrapartum_fever_or_chorioamnionitis_bin,binary,0.0,,False,False,0%,none,,0,0.0,431,0,0.0,n/a (no missing)
