variable,predictor_classification,original_or_derived,source_columns,domain,timing,timing_raw,missing_%,raw_missing_pct,primary_missing_pct_for_modeling,effective_missing_pct_for_exclusion,structural_applicability_status,applicability_aware_missing_pct_sensitivity,structural_applicability_applicable_n,structural_applicability_genuine_missing_applicable_n,model_entry_mode,redundant_with,event_count_info,min_cell_count,p_value,fdr_q_value,effect_size,effect_size_type,test_status,test,included_in_bh,bh_family_n,effect_contrast,effect_estimate_status,target0_n,target1_n,redundancy_flag,high_target_association_review,impossible_flag,separation_flag,too_sparse_flag,clinical_priority_tier,primary_model_eligible,candidate_role_for_modeling_review,reason,priority_score,data_type,non_missing_count,n_unique,zero_variance_flag,hard_exclusion_reason,eligibility_status,rare_feature_flag,timing_uncertain,meets_quality_bar,redundancy_group,redundancy_demoted,redundancy_unresolved,redundancy_unresolved_group,soft_warning_flags,review_reason,physical_variable_type,physical_n_categories,model_representation_type,model_preprocessing_contract_id,hard_forbidden_with,relationship_groups,relationship_review_required,earliest_entry_stage,fold_safe_requirement,downstream_preprocessing_requirement
clexane_during_pregnancy,predictor_allowed,original,—,treatment_medication,pregnancy,pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=2,2,1.0,1.0,0.862,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,True,False,False,False,True,1,yes,soft_risk_review,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",4.297,binary,431,2,False,,eligible,False,False,True,—,False,False,—,sparse_event_risk,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,,False,1,none,binary_passthrough_no_encoding
smoking,predictor_allowed,original,—,demographics,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=0,0,0.3284,0.665,0.064,Cramér's V,tested_monte_carlo,"chi-square (Monte Carlo, seed=20260901, n_resamples=9999)",True,81,association_strength (unsigned),not_applicable,370,61,False,False,False,True,False,1,yes,soft_risk_review,"separation in 2x2 table (target-informed modeling-stage risk, not an exclusion)",4.256,categorical,431,3,False,,eligible,False,False,True,—,False,False,—,separation_risk,"separation in 2x2 table (target-informed modeling-stage risk, not an exclusion)",categorical,3.0,one_hot_categorical,CAT_ONEHOT_FOLD_V1,,,False,1,none,one_hot_encode_within_training_fold
adenomyosis_features_unknown,predictor_allowed,original,"adenomyosis, adenomyosis_sonographic_features_clean",endometriosis_phenotype,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=6,6,0.817,1.0,1.114,odds ratio,tested,chi-square,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,False,False,False,False,False,derived,yes,general_review,no FDR signal; include only with clinical justification,4.216,binary,431,2,False,,eligible,False,False,True,—,False,False,—,,no FDR signal; include only with clinical justification,binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,adenomyosis_parent_and_multihot,True,1,none,binary_passthrough_no_encoding
adenomyosis_feature_3,predictor_allowed,original,"adenomyosis, adenomyosis_sonographic_features_clean",endometriosis_phenotype,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=7,7,0.8266,1.0,1.1,odds ratio,tested,chi-square,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,False,False,False,False,False,derived,yes,general_review,no FDR signal; include only with clinical justification,4.191,binary,431,2,False,,eligible,False,False,True,—,False,False,—,,no FDR signal; include only with clinical justification,binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,adenomyosis_parent_and_multihot,True,1,none,binary_passthrough_no_encoding
derived_endo_surgery_adhesion_status,predictor_allowed,original,"endometriosis_surgery, endo_surgery_adhesiolysis",prior_endo_surgery,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,endometriosis_surgery,min_cell=13,13,0.7981,1.0,0.032,Cramér's V,tested,chi-square,True,81,association_strength (unsigned),not_applicable,370,61,True,False,False,False,False,derived,yes,general_review,high redundancy with another approved variable,4.128,categorical,431,3,False,,eligible,False,False,True,endo_surgery_adhesion_status_representation,False,True,endo_surgery_adhesion_status_representation,redundancy_unresolved(family=endo_surgery_adhesion_status_representation),high redundancy with another approved variable,categorical,3.0,one_hot_categorical,CAT_ONEHOT_FOLD_V1,endometriosis_surgery,prior_endometriosis_surgery,True,1,none,one_hot_encode_within_training_fold
CS,predictor_allowed,original,—,obstetric_history,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,med=0.0,-1,0.3094,0.646,0.028,rank-biserial r,tested,Mann-Whitney U,True,81,target1_vs_target0,ok,370,61,False,False,False,False,False,1,yes,clinical_priority_review,high clinical tier but not FDR-significant,4.112,numeric,431,3,False,,eligible,False,False,True,prior_cs_count,False,True,prior_cs_count,redundancy_unresolved(family=prior_cs_count),high clinical tier but not FDR-significant,count,,same_as_physical_numeric,NUM_PASSTHROUGH_FOLD_SCALE_V1,,prior_cesarean_history,True,1,none,scale_within_training_fold_if_estimator_requires
endo_resection_no_resection,predictor_allowed,original,—,prior_endo_surgery,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,confirmed_structural,0.0,222.0,0.0,direct,,min_cell=3,3,0.0622,0.2518,4.733,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,False,False,False,False,True,—,yes,soft_risk_review,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",4.109,binary,431,2,False,,eligible,True,False,False,—,False,False,—,rare_feature; weak_univariate_signal; sparse_event_risk,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,prior_endometriosis_surgery,True,1,none,binary_passthrough_no_encoding; subgroup_aware_structural_missingness_no_blind_impute
adenomyosis_feature_1,predictor_allowed,original,"adenomyosis, adenomyosis_sonographic_features_clean",endometriosis_phenotype,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=10,10,0.9296,1.0,1.034,odds ratio,tested,chi-square,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,True,False,False,False,False,derived,yes,general_review,high redundancy with another approved variable,4.067,binary,431,2,False,,eligible,False,False,True,—,False,False,—,,high redundancy with another approved variable,binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,adenomyosis_parent_and_multihot,True,1,none,binary_passthrough_no_encoding
peritoneal_endometriosis,predictor_allowed,original,—,endometriosis_phenotype,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=19,19,0.9241,1.0,0.972,odds ratio,tested,chi-square,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,False,False,False,False,False,1,yes,clinical_priority_review,high clinical tier but not FDR-significant,4.057,binary,431,2,False,,eligible,False,False,True,—,False,False,—,,high clinical tier but not FDR-significant,binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,,False,1,none,binary_passthrough_no_encoding
adenomyosis_feature_11,predictor_allowed,original,"adenomyosis, adenomyosis_sonographic_features_clean",endometriosis_phenotype,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=0,0,0.1415,0.4209,,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),zero_cell_unstable_or_undefined,370,61,False,False,False,True,False,derived,yes,soft_risk_review,"separation in 2x2 table (target-informed modeling-stage risk, not an exclusion)",4.0,binary,431,2,False,,eligible,True,False,True,—,False,False,—,rare_feature; separation_risk,"separation in 2x2 table (target-informed modeling-stage risk, not an exclusion)",binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,adenomyosis_parent_and_multihot,True,1,none,binary_passthrough_no_encoding
adenomyosis_feature_7,predictor_allowed,original,"adenomyosis, adenomyosis_sonographic_features_clean",endometriosis_phenotype,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=0,0,0.1415,0.4209,,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),zero_cell_unstable_or_undefined,370,61,False,False,False,True,False,derived,yes,soft_risk_review,"separation in 2x2 table (target-informed modeling-stage risk, not an exclusion)",4.0,binary,431,2,False,,eligible,True,False,True,—,False,False,—,rare_feature; separation_risk,"separation in 2x2 table (target-informed modeling-stage risk, not an exclusion)",binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,adenomyosis_parent_and_multihot,True,1,none,binary_passthrough_no_encoding
adenomyosis_feature_6,predictor_allowed,original,"adenomyosis, adenomyosis_sonographic_features_clean",endometriosis_phenotype,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=0,0,1.0,1.0,,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),zero_cell_unstable_or_undefined,370,61,False,False,False,True,False,derived,yes,soft_risk_review,"separation in 2x2 table (target-informed modeling-stage risk, not an exclusion)",4.0,binary,431,2,False,,eligible,True,False,True,—,False,False,—,rare_feature; separation_risk,"separation in 2x2 table (target-informed modeling-stage risk, not an exclusion)",binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,adenomyosis_parent_and_multihot,True,1,none,binary_passthrough_no_encoding
adenomyosis_feature_8,predictor_allowed,original,"adenomyosis, adenomyosis_sonographic_features_clean",endometriosis_phenotype,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=0,0,1.0,1.0,,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),zero_cell_unstable_or_undefined,370,61,False,False,False,True,False,derived,yes,soft_risk_review,"separation in 2x2 table (target-informed modeling-stage risk, not an exclusion)",4.0,binary,431,2,False,,eligible,True,False,True,—,False,False,—,rare_feature; separation_risk,"separation in 2x2 table (target-informed modeling-stage risk, not an exclusion)",binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,adenomyosis_parent_and_multihot,True,1,none,binary_passthrough_no_encoding
induction_any_bin,intrapartum_predictor_exclude_from_prelabor_model,original,—,unknown,timing_unknown,unknown,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=14,14,0.0,0.0,5.093,odds ratio,tested,chi-square,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,True,False,False,False,False,—,review,horizon_specific_review,"intrapartum_predictor_exclude_from_prelabor_model classification (confirmed intrapartum timing; part of the unified master pool per Decision 65, eligible for the intrapartum modeling horizon only)",3.756,binary,431,2,False,,eligible,False,True,True,indication_for_induction_status_representation,False,True,indication_for_induction_status_representation,timing_uncertain; redundancy_unresolved(family=indication_for_induction_status_representation),"intrapartum_predictor_exclude_from_prelabor_model classification (confirmed intrapartum timing; part of the unified master pool per Decision 65, eligible for the intrapartum modeling horizon only)",binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,indication_for_induction_status,labor_induction_representation,True,3,none,binary_passthrough_no_encoding
placental_abruption,secondary_near_delivery_predictor,original,—,unknown,timing_unknown,unknown,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=2,2,0.0979,0.3303,6.237,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,False,False,False,False,True,—,review,horizon_specific_review,secondary_near_delivery_predictor classification,3.661,binary,431,2,False,,eligible,True,True,False,—,False,False,—,rare_feature; timing_uncertain; weak_univariate_signal; sparse_event_risk,secondary_near_delivery_predictor classification,binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,,False,2,none,binary_passthrough_no_encoding
mild_PET,predictor_allowed,original,—,pregnancy_complication,pregnancy,pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=3,3,0.0896,0.3169,3.776,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,True,False,False,False,True,—,yes,soft_risk_review,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",3.657,binary,431,2,False,,eligible,True,False,False,hypertension_pih_pet_spectrum_representation,False,True,hypertension_pih_pet_spectrum_representation,rare_feature; redundancy_unresolved(family=hypertension_pih_pet_spectrum_representation); weak_univariate_signal; sparse_event_risk,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,hypertension_spectrum,True,1,none,binary_passthrough_no_encoding
magnesium,predictor_allowed,original,—,treatment_medication,pregnancy,pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=3,3,0.0896,0.3169,3.776,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,False,False,False,False,True,—,yes,soft_risk_review,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",3.657,binary,431,2,False,,eligible,True,False,False,—,False,False,—,rare_feature; weak_univariate_signal; sparse_event_risk,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,,False,1,none,binary_passthrough_no_encoding
PPROM,secondary_near_delivery_predictor,original,PPROM,obstetric,pregnancy,antepartum,0.0,0.0,0.0,0.0,none,,,,direct,gestational_age_at_PPROM_days_timing_status,min_cell=6,6,0.0221,0.1191,3.56,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,False,False,False,False,False,—,yes,horizon_specific_review,secondary_near_delivery_predictor classification,3.54,binary,431,2,False,,eligible,False,False,True,pprom_timing_representation,False,True,pprom_timing_representation,redundancy_unresolved(family=pprom_timing_representation),secondary_near_delivery_predictor classification,binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,gestational_age_at_PPROM_days,pprom_timing,True,2,none,binary_passthrough_no_encoding
EUP,predictor_allowed,original,—,obstetric_history,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=1,1,0.4871,0.7445,0.369,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,False,False,False,False,True,—,yes,soft_risk_review,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",2.994,binary,431,2,False,,eligible,False,False,False,parity_history,False,True,parity_history,redundancy_unresolved(family=parity_history); weak_univariate_signal; sparse_event_risk,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,parity_obstetric_history,True,1,none,binary_passthrough_no_encoding
PIH,predictor_allowed,original,—,pregnancy_complication,pregnancy,pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=3,3,0.1562,0.4209,2.682,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,True,False,False,False,True,—,yes,soft_risk_review,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",2.973,binary,431,2,False,,eligible,True,False,False,hypertension_pih_pet_spectrum_representation,False,True,hypertension_pih_pet_spectrum_representation,rare_feature; redundancy_unresolved(family=hypertension_pih_pet_spectrum_representation); weak_univariate_signal; sparse_event_risk,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,hypertension_spectrum,True,1,none,binary_passthrough_no_encoding
polyhydramnios,predictor_allowed,original,—,fetal_placental,pregnancy,pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=5,5,0.1553,0.4209,2.452,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,False,False,False,False,False,—,yes,general_review,no FDR signal; include only with clinical justification,2.794,binary,431,2,False,,eligible,False,False,False,—,False,False,—,weak_univariate_signal,no FDR signal; include only with clinical justification,binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,,False,1,none,binary_passthrough_no_encoding
LIVE_BIRTH,predictor_allowed,original,—,obstetric_history,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,med=0.0,-1,0.0001,0.0017,-0.281,rank-biserial r,tested,Mann-Whitney U,True,81,target1_vs_target0,ok,370,61,True,False,False,False,False,—,yes,general_review,high redundancy with another approved variable,2.624,numeric,431,6,False,,eligible,False,False,True,parity_history,False,True,parity_history,redundancy_unresolved(family=parity_history),high redundancy with another approved variable,count,,same_as_physical_numeric,NUM_PASSTHROUGH_FOLD_SCALE_V1,,parity_obstetric_history,True,1,none,scale_within_training_fold_if_estimator_requires
endo_resection_ovarian_endometrioma_bilateral,predictor_allowed,original,—,prior_endo_surgery,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,confirmed_structural,0.0,222.0,0.0,direct,,min_cell=2,2,0.4013,0.7066,0.468,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,False,False,False,False,True,—,yes,soft_risk_review,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",2.519,binary,431,2,False,,eligible,False,False,False,—,False,False,—,weak_univariate_signal; sparse_event_risk,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,prior_endometriosis_surgery,True,1,none,binary_passthrough_no_encoding; subgroup_aware_structural_missingness_no_blind_impute
endo_resection_fallopian_tube,predictor_allowed,original,—,prior_endo_surgery,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,confirmed_structural,0.0,222.0,0.0,direct,,min_cell=2,2,0.4013,0.7066,0.468,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,False,False,False,False,True,—,yes,soft_risk_review,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",2.519,binary,431,2,False,,eligible,False,False,False,—,False,False,—,weak_univariate_signal; sparse_event_risk,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,prior_endometriosis_surgery,True,1,none,binary_passthrough_no_encoding; subgroup_aware_structural_missingness_no_blind_impute
endo_resection_appendix,predictor_allowed,original,—,prior_endo_surgery,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,confirmed_structural,0.0,222.0,0.0,direct,,min_cell=1,1,0.4581,0.7445,2.039,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,False,False,False,False,True,—,yes,soft_risk_review,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",2.425,binary,431,2,False,,eligible,True,False,False,—,False,False,—,rare_feature; weak_univariate_signal; sparse_event_risk,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,prior_endometriosis_surgery,True,1,none,binary_passthrough_no_encoding; subgroup_aware_structural_missingness_no_blind_impute
endo_resection_adnexa,predictor_allowed,original,—,prior_endo_surgery,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,confirmed_structural,0.0,222.0,0.0,direct,,min_cell=1,1,1.0,1.0,0.6,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,False,False,False,False,True,—,yes,soft_risk_review,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",2.022,binary,431,2,False,,eligible,True,False,False,—,False,False,—,rare_feature; weak_univariate_signal; sparse_event_risk,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,prior_endometriosis_surgery,True,1,none,binary_passthrough_no_encoding; subgroup_aware_structural_missingness_no_blind_impute
vaginal_opening_during_surgery,predictor_allowed,original,—,prior_endo_surgery,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=5,5,0.3617,0.6975,1.649,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,True,False,False,False,False,—,yes,general_review,high redundancy with another approved variable,2.0,binary,431,2,False,,eligible,False,False,False,—,False,False,—,weak_univariate_signal,high redundancy with another approved variable,binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,,False,1,none,binary_passthrough_no_encoding
celestone,predictor_allowed,original,—,treatment_medication,pregnancy,pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=7,7,0.311,0.646,1.583,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,False,False,False,False,False,—,yes,general_review,no FDR signal; include only with clinical justification,1.919,binary,431,2,False,,eligible,False,False,False,—,False,False,—,weak_univariate_signal,no FDR signal; include only with clinical justification,binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,,False,1,none,binary_passthrough_no_encoding
intrapartum_fever_or_chorioamnionitis_bin,intrapartum_predictor_exclude_from_prelabor_model,original,—,unknown,timing_unknown,unknown,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=8,8,0.0482,0.2056,2.509,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,False,False,False,False,False,—,review,horizon_specific_review,"intrapartum_predictor_exclude_from_prelabor_model classification (confirmed intrapartum timing; part of the unified master pool per Decision 65, eligible for the intrapartum modeling horizon only)",1.84,binary,431,2,False,,eligible,False,True,True,—,False,False,—,timing_uncertain,"intrapartum_predictor_exclude_from_prelabor_model classification (confirmed intrapartum timing; part of the unified master pool per Decision 65, eligible for the intrapartum modeling horizon only)",binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,,False,3,none,binary_passthrough_no_encoding
diabetes_type,predictor_allowed,original,—,pregnancy_complication,pregnancy,pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=0,0,0.0203,0.1191,0.193,Cramér's V,tested_monte_carlo,"chi-square (Monte Carlo, seed=20260901, n_resamples=9999)",True,81,association_strength (unsigned),not_applicable,370,61,True,False,False,True,False,—,yes,soft_risk_review,"separation in 2x2 table (target-informed modeling-stage risk, not an exclusion)",1.772,categorical,431,6,False,,eligible,False,False,True,diabetes_representation,False,True,diabetes_representation,redundancy_unresolved(family=diabetes_representation); separation_risk,"separation in 2x2 table (target-informed modeling-stage risk, not an exclusion)",categorical,6.0,one_hot_categorical,CAT_ONEHOT_FOLD_V1,derived_diabetes_type_grouped,diabetes_representation,True,1,none,one_hot_encode_within_training_fold
bladder_lesion_resected,predictor_allowed,original,—,prior_endo_surgery,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=3,3,0.4833,0.7445,1.42,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,False,False,False,False,True,—,yes,soft_risk_review,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",1.701,binary,431,2,False,,eligible,False,False,False,—,False,False,—,weak_univariate_signal; sparse_event_risk,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,,False,1,none,binary_passthrough_no_encoding
mode_of_conception,predictor_allowed,original,—,conception,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=1,1,0.0213,0.1191,0.152,Cramér's V,tested_monte_carlo,"chi-square (Monte Carlo, seed=20260901, n_resamples=9999)",True,81,association_strength (unsigned),not_applicable,370,61,True,False,False,False,True,—,yes,soft_risk_review,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",1.608,categorical,431,4,False,,eligible,False,False,True,—,False,False,—,sparse_event_risk,"too sparse (events < 5) -- target-informed modeling-stage risk, not an exclusion",categorical,4.0,one_hot_categorical,CAT_ONEHOT_FOLD_V1,mode_of_conception_ivf_vs_all,conception_mode_representation,True,1,none,one_hot_encode_within_training_fold
endo_resection_lesion,predictor_allowed,original,—,prior_endo_surgery,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,confirmed_structural,0.0,222.0,0.0,direct,,min_cell=21,21,0.3071,0.646,0.745,odds ratio,tested,chi-square,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,True,False,False,False,False,—,yes,general_review,high redundancy with another approved variable,1.589,binary,431,2,False,,eligible,False,False,False,—,False,False,—,weak_univariate_signal,high redundancy with another approved variable,binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,prior_endometriosis_surgery,True,1,none,binary_passthrough_no_encoding; subgroup_aware_structural_missingness_no_blind_impute
Fetus_Anamoly,predictor_allowed,original,—,fetal_placental,pregnancy,pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=6,6,0.6122,0.8855,1.283,odds ratio,tested,Fisher exact,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,False,False,False,False,False,—,yes,general_review,no FDR signal; include only with clinical justification,1.498,binary,431,2,False,,eligible,False,False,False,—,False,False,—,weak_univariate_signal,no FDR signal; include only with clinical justification,binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,,False,1,none,binary_passthrough_no_encoding
endo_resection_adhesiolysis,predictor_allowed,original,—,prior_endo_surgery,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,confirmed_structural,0.0,222.0,0.0,direct,,min_cell=18,18,0.4607,0.7445,0.801,odds ratio,tested,chi-square,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,True,False,False,False,False,—,yes,general_review,high redundancy with another approved variable,1.444,binary,431,2,False,,eligible,False,False,False,—,False,False,—,weak_univariate_signal,high redundancy with another approved variable,binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,prior_endometriosis_surgery,True,1,none,binary_passthrough_no_encoding; subgroup_aware_structural_missingness_no_blind_impute
bowel_lesion_resected,predictor_allowed,original,—,prior_endo_surgery,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,none,,,,direct,,min_cell=6,6,0.7065,0.9867,1.193,odds ratio,tested,chi-square,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,True,False,False,False,False,—,yes,general_review,high redundancy with another approved variable,1.353,binary,431,2,False,,eligible,False,False,False,—,False,False,—,weak_univariate_signal,high redundancy with another approved variable,binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,,False,1,none,binary_passthrough_no_encoding
endo_resection_ovarian_endometrioma_unilateral,predictor_allowed,original,—,prior_endo_surgery,pre_pregnancy,pre_pregnancy,0.0,0.0,0.0,0.0,confirmed_structural,0.0,222.0,0.0,direct,,min_cell=11,11,0.7935,1.0,0.911,odds ratio,tested,chi-square,True,81,predictor1_vs_predictor0 (target1 odds),ok,370,61,True,False,False,False,False,—,yes,general_review,high redundancy with another approved variable,1.186,binary,431,2,False,,eligible,False,False,False,—,False,False,—,weak_univariate_signal,high redundancy with another approved variable,binary,2.0,binary_passthrough,BIN_PASSTHROUGH_V1,,prior_endometriosis_surgery,True,1,none,binary_passthrough_no_encoding; subgroup_aware_structural_missingness_no_blind_impute
height,predictor_allowed,original,—,anthropometric,pre_pregnancy,pre_pregnancy,15.8,15.8,15.8,15.8,none,,,,direct,,med=163.0,-1,0.0198,0.1191,-0.201,rank-biserial r,tested,Mann-Whitney U,True,81,target1_vs_target0,ok,311,52,False,False,False,False,False,—,yes,general_review,no FDR signal; include only with clinical justification,1.172,numeric,363,33,False,,eligible,False,False,True,anthropometry,False,True,anthropometry,redundancy_unresolved(family=anthropometry),no FDR signal; include only with clinical justification,continuous,,same_as_physical_numeric,NUM_PASSTHROUGH_FOLD_SCALE_V1,,pregnancy_anthropometry; prepregnancy_anthropometry,True,1,none,scale_within_training_fold_if_estimator_requires; median_impute_within_training_fold
